,Planet_Mass1,Planet_Mass2,Planet_Mass3,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Flaring_Index,Rp1,Rp2,Rp3,image_path,Planet_Count
2099,420.0,566.6666666666666,680.0,0.1,0.0005,0.000157,0.0625,1.0,0.0,0.931,2.15,3.49,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_14/image_108.png,3
4868,816.6666666666666,846.6666666666667,596.6666666666666,0.1,0.0005,0.03,0.0839,1.0,0.0,1.06,2.01,3.29,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_33/image_26.png,3
6357,980.0,60.0,516.6666666666666,0.1,0.0005,0.16,0.0505,1.0,0.0,1.03,1.94,3.15,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_43/image_56.png,3
7104,623.3333333333333,60.0,49.33333333333333,0.1,0.00999,0.000157,0.0325,1.0,0.0,0.92,2.18,3.44,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_48/image_38.png,3
5694,743.3333333333334,60.0,282.3333333333333,0.1,0.00999,0.03,0.0415,1.0,0.0,0.856,2.14,3.06,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_38/image_112.png,3
2888,730.0,706.6666666666666,127.0,0.1,0.00999,0.03,0.0904,1.0,0.0,1.07,1.86,2.91,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_20/image_73.png,3
4113,363.3333333333333,820.0,876.6666666666666,0.1,0.0005,0.000157,0.0325,1.0,0.0,0.829,1.94,3.34,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_28/image_32.png,3
5448,583.3333333333334,0.0,360.0,0.1,0.00999,0.03,0.0985,1.0,0.0,1.0,2.0,3.3,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_37/image_3.png,2
11042,186.66666666666666,0.0,1000.0,0.1,0.00999,0.03,0.0535,1.0,0.0,1.11,2.13,2.98,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_74/image_22.png,2
6776,266.0,333.3333333333333,746.6666666666666,0.1,0.03,0.000157,0.0835,1.0,0.0,1.11,2.08,2.91,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_46/image_82.png,3
13276,900.0,0.0,0.0,0.1,0.00999,0.03,0.0525,1.0,0.0,1.05,1.87,3.12,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_89/image_39.png,1
10586,543.3333333333333,333.3333333333333,1000.0,0.1,0.03,0.03,0.0265,1.0,0.0,0.936,1.95,3.2,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_71/image_25.png,3
9042,980.0,0.0,240.0,0.1,0.00999,0.03,0.0925,1.0,0.0,0.968,2.11,3.06,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_61/image_5.png,2
6782,266.0,333.3333333333333,746.6666666666666,0.1,0.03,0.000157,0.0835,1.0,0.0,1.11,2.08,2.91,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_46/image_77.png,3
13680,305.66666666666663,0.0,0.0,0.1,0.0005,0.03,0.0475,1.0,0.0,0.92,1.92,3.44,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_92/image_79.png,1
6999,900.0,60.0,476.6666666666667,0.1,0.03,0.16,0.0685,1.0,0.0,1.06,2.1,3.32,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_47/image_142.png,3
4409,333.3333333333333,149.33333333333331,210.0,0.1,0.00999,0.03,0.0304,1.0,0.0,1.13,1.98,3.27,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_30/image_38.png,3
4261,646.6666666666666,903.3333333333334,570.0,0.1,0.00999,0.16,0.0968,1.0,0.0,0.909,1.93,3.17,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_29/image_3.png,3
8086,463.3333333333333,60.0,436.66666666666663,0.1,0.00999,0.000157,0.0295,1.0,0.0,1.02,2.13,3.37,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_54/image_100.png,3
14187,239.33333333333331,0.0,0.0,0.1,0.00999,0.000157,0.0875,1.0,0.0,0.893,2.0,3.4,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_95/image_29.png,1
1791,986.6666666666666,680.0,846.6666666666667,0.1,0.03,0.16,0.0711,1.0,0.0,1.19,2.1,3.18,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_12/image_106.png,3
10231,107.33333333333334,60.0,240.0,0.1,0.00999,0.16,0.0565,1.0,0.0,1.16,1.97,3.46,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_69/image_69.png,3
12953,770.0,0.0,0.0,0.1,0.00999,0.000157,0.0625,1.0,0.0,0.973,2.08,3.48,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_87/image_50.png,1
3889,873.3333333333333,956.6666666666667,99.33333333333333,0.1,0.00999,0.03,0.0861,1.0,0.0,0.897,2.14,3.3,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_26/image_117.png,3
1203,135.66666666666669,596.6666666666666,459.99999999999994,0.1,0.00999,0.16,0.0989,1.0,0.0,1.1,1.92,3.25,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_9/image_95.png,3
10982,186.66666666666666,0.0,1000.0,0.1,0.00999,0.03,0.0535,1.0,0.0,1.11,2.13,2.98,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_74/image_77.png,2
14884,173.33333333333331,0.0,0.0,0.1,0.00999,0.03,0.0275,1.0,0.0,1.11,1.97,3.16,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_100/image_77.png,1
13669,305.66666666666663,0.0,0.0,0.1,0.0005,0.03,0.0475,1.0,0.0,0.92,1.92,3.44,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_92/image_89.png,1
5160,760.0,873.3333333333333,182.33333333333331,0.1,0.00999,0.000157,0.0368,1.0,0.0,1.02,1.84,3.32,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_35/image_53.png,3
3925,249.0,289.0,376.66666666666663,0.1,0.0005,0.03,0.0496,1.0,0.0,1.14,2.06,3.08,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_27/image_85.png,3
12427,383.3333333333333,60.0,240.0,0.1,0.0005,0.000157,0.0475,1.0,0.0,0.904,2.02,3.27,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_83/image_113.png,3
2013,420.0,566.6666666666666,680.0,0.1,0.0005,0.000157,0.0625,1.0,0.0,0.931,2.15,3.49,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_14/image_50.png,3
10100,820.0,60.0,0.0,0.1,0.00999,0.000157,0.0505,1.0,0.0,1.06,1.84,3.03,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_68/image_35.png,2
5708,743.3333333333334,60.0,282.3333333333333,0.1,0.00999,0.03,0.0415,1.0,0.0,0.856,2.14,3.06,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_38/image_10.png,3
10886,900.0,0.0,240.0,0.1,0.0005,0.16,0.0325,1.0,0.0,1.13,1.92,3.44,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_73/image_15.png,2
1407,533.3333333333334,93.66666666666666,433.3333333333333,0.1,0.00999,0.03,0.0454,1.0,0.0,0.92,2.08,3.06,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_10/image_47.png,3
2589,79.0,177.33333333333334,265.66666666666663,0.1,0.00999,0.16,0.0539,1.0,0.0,1.03,2.09,3.22,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_18/image_72.png,3
5846,107.33333333333334,60.0,670.0,0.1,0.00999,0.03,0.0565,1.0,0.0,0.952,2.06,3.27,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_39/image_103.png,3
8839,703.3333333333333,333.3333333333333,980.0,0.1,0.03,0.16,0.0745,1.0,0.0,0.872,2.02,3.49,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_59/image_105.png,3
1245,135.66666666666669,596.6666666666666,459.99999999999994,0.1,0.00999,0.16,0.0989,1.0,0.0,1.1,1.92,3.25,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_9/image_37.png,3
5084,476.6666666666667,623.3333333333333,238.0,0.1,0.0005,0.03,0.0818,1.0,0.0,1.0,1.87,3.1,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_34/image_121.png,3
424,446.6666666666667,986.6666666666666,930.0,0.1,0.00999,0.16,0.0518,1.0,0.0,0.874,1.83,2.98,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_3/image_101.png,3
576,164.0,429.99999999999994,710.0,0.1,0.00999,0.16,0.0668,1.0,0.0,1.11,2.05,3.13,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_4/image_116.png,3
2024,420.0,566.6666666666666,680.0,0.1,0.0005,0.000157,0.0625,1.0,0.0,0.931,2.15,3.49,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_14/image_40.png,3
12058,940.0,333.3333333333333,240.0,0.1,0.03,0.16,0.0355,1.0,0.0,0.92,2.03,3.1,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_81/image_45.png,3
9130,980.0,0.0,240.0,0.1,0.00999,0.03,0.0925,1.0,0.0,0.968,2.11,3.06,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_61/image_102.png,2
11468,147.0,60.0,0.0,0.1,0.00999,0.03,0.0595,1.0,0.0,1.18,1.9,3.32,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_77/image_45.png,2
13279,900.0,0.0,0.0,0.1,0.00999,0.03,0.0525,1.0,0.0,1.05,1.87,3.12,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_89/image_36.png,1
11748,663.3333333333334,333.3333333333333,1000.0,0.1,0.03,0.16,0.0865,1.0,0.0,1.14,2.1,3.18,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_79/image_48.png,3
7780,663.3333333333334,60.0,943.3333333333334,0.1,0.00999,0.03,0.0355,1.0,0.0,1.05,1.87,3.18,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_52/image_115.png,3
10078,820.0,60.0,0.0,0.1,0.00999,0.000157,0.0505,1.0,0.0,1.06,1.84,3.03,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_68/image_61.png,2
9949,463.3333333333333,60.0,240.0,0.1,0.0005,0.03,0.0655,1.0,0.0,1.08,2.16,3.3,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_67/image_43.png,3
14579,833.3333333333334,0.0,0.0,0.1,0.00999,0.000157,0.0375,1.0,0.0,0.867,1.89,3.24,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_98/image_77.png,1
13746,305.66666666666663,0.0,0.0,0.1,0.0005,0.03,0.0475,1.0,0.0,0.92,1.92,3.44,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_92/image_19.png,1
5783,107.33333333333334,60.0,670.0,0.1,0.00999,0.03,0.0565,1.0,0.0,0.952,2.06,3.27,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_39/image_25.png,3
14175,239.33333333333331,0.0,0.0,0.1,0.00999,0.000157,0.0875,1.0,0.0,0.893,2.0,3.4,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_95/image_4.png,1
6667,147.0,333.3333333333333,903.3333333333334,0.1,0.00999,0.000157,0.0625,1.0,0.0,1.13,2.16,3.2,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_45/image_46.png,3
595,164.0,429.99999999999994,710.0,0.1,0.00999,0.16,0.0668,1.0,0.0,1.11,2.05,3.13,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_4/image_1.png,3
12697,346.66666666666663,0.0,1000.0,0.1,0.00999,0.16,0.0685,1.0,0.0,0.824,2.18,2.91,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_85/image_129.png,2
5194,760.0,873.3333333333333,182.33333333333331,0.1,0.00999,0.000157,0.0368,1.0,0.0,1.02,1.84,3.32,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_35/image_22.png,3
3504,192.33333333333334,121.66666666666666,543.3333333333333,0.1,0.0005,0.03,0.0882,1.0,0.0,0.84,2.03,3.46,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_24/image_59.png,3
14083,966.6666666666666,0.0,0.0,0.1,0.0005,0.000157,0.0325,1.0,0.0,0.947,2.16,3.36,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_94/image_12.png,1
12362,383.3333333333333,60.0,240.0,0.1,0.0005,0.000157,0.0475,1.0,0.0,0.904,2.02,3.27,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_83/image_37.png,3
9933,463.3333333333333,60.0,240.0,0.1,0.0005,0.03,0.0655,1.0,0.0,1.08,2.16,3.3,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_67/image_63.png,3
10008,463.3333333333333,60.0,240.0,0.1,0.0005,0.03,0.0655,1.0,0.0,1.08,2.16,3.3,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_67/image_126.png,3
68,703.3333333333333,790.0,626.6666666666666,0.1,0.03,0.16,0.0475,1.0,0.0,1.05,2.16,3.03,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_1/image_37.png,3
2380,956.6666666666667,65.66666666666666,154.66666666666666,0.1,0.0005,0.000157,0.0282,1.0,0.0,1.08,2.18,3.2,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_16/image_125.png,3
2407,956.6666666666667,65.66666666666666,154.66666666666666,0.1,0.0005,0.000157,0.0282,1.0,0.0,1.08,2.18,3.2,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_16/image_100.png,3
10215,107.33333333333334,60.0,240.0,0.1,0.00999,0.16,0.0565,1.0,0.0,1.16,1.97,3.46,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_69/image_92.png,3
7968,463.3333333333333,60.0,436.66666666666663,0.1,0.00999,0.000157,0.0295,1.0,0.0,1.02,2.13,3.37,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_54/image_85.png,3
8379,346.66666666666663,60.0,243.33333333333331,0.1,0.0005,0.03,0.0445,1.0,0.0,1.19,1.98,3.46,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_56/image_126.png,3
1655,986.6666666666666,680.0,846.6666666666667,0.1,0.03,0.16,0.0711,1.0,0.0,1.19,2.1,3.18,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_12/image_94.png,3
7976,463.3333333333333,60.0,436.66666666666663,0.1,0.00999,0.000157,0.0295,1.0,0.0,1.02,2.13,3.37,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_54/image_74.png,3
13376,41.0,0.0,0.0,0.1,0.00999,0.16,0.0775,1.0,0.0,1.19,2.19,3.2,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_90/image_84.png,1
14678,833.3333333333334,0.0,0.0,0.1,0.00999,0.000157,0.0375,1.0,0.0,0.867,1.89,3.24,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_98/image_117.png,1
10716,783.3333333333334,60.0,240.0,0.1,0.00999,0.03,0.0745,1.0,0.0,0.888,1.87,3.34,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_72/image_39.png,3
4253,646.6666666666666,903.3333333333334,570.0,0.1,0.00999,0.16,0.0968,1.0,0.0,0.909,1.93,3.17,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_29/image_37.png,3
245,616.6666666666666,650.0,903.3333333333334,0.1,0.0005,0.03,0.0389,1.0,0.0,1.16,2.0,2.99,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_2/image_148.png,3
8479,305.66666666666663,60.0,593.3333333333333,0.1,0.03,0.03,0.0385,1.0,0.0,0.824,1.92,3.22,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_57/image_23.png,3
12232,623.3333333333333,60.0,240.0,0.1,0.03,0.03,0.0295,1.0,0.0,1.1,2.08,2.94,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_82/image_33.png,3
4934,816.6666666666666,846.6666666666667,596.6666666666666,0.1,0.0005,0.03,0.0839,1.0,0.0,1.06,2.01,3.29,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_33/image_101.png,3
3365,390.0,513.3333333333333,653.3333333333333,0.1,0.03,0.000157,0.0946,1.0,0.0,0.966,1.9,2.93,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_23/image_49.png,3
6949,900.0,60.0,476.6666666666667,0.1,0.03,0.16,0.0685,1.0,0.0,1.06,2.1,3.32,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_47/image_52.png,3
6207,503.3333333333333,60.0,88.33333333333333,0.1,0.00999,0.16,0.0265,1.0,0.0,0.808,1.86,2.94,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_42/image_56.png,3
699,786.6666666666667,540.0,321.0,0.1,0.00999,0.000157,0.0754,1.0,0.0,0.954,1.82,2.96,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_5/image_143.png,3
7964,463.3333333333333,60.0,436.66666666666663,0.1,0.00999,0.000157,0.0295,1.0,0.0,1.02,2.13,3.37,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_54/image_90.png,3
5509,583.3333333333334,0.0,360.0,0.1,0.00999,0.03,0.0985,1.0,0.0,1.0,2.0,3.3,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_37/image_11.png,2
4320,646.6666666666666,903.3333333333334,570.0,0.1,0.00999,0.16,0.0968,1.0,0.0,0.909,1.93,3.17,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_29/image_11.png,3
7795,663.3333333333334,60.0,943.3333333333334,0.1,0.00999,0.03,0.0355,1.0,0.0,1.05,1.87,3.18,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_52/image_101.png,3
14258,239.33333333333331,0.0,0.0,0.1,0.00999,0.000157,0.0875,1.0,0.0,0.893,2.0,3.4,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_95/image_10.png,1
8185,859.9999999999999,0.0,204.66666666666666,0.1,0.0005,0.16,0.0895,1.0,0.0,0.84,2.11,3.25,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_55/image_30.png,2
12628,346.66666666666663,0.0,1000.0,0.1,0.00999,0.16,0.0685,1.0,0.0,0.824,2.18,2.91,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_85/image_73.png,2
3518,192.33333333333334,121.66666666666666,543.3333333333333,0.1,0.0005,0.03,0.0882,1.0,0.0,0.84,2.03,3.46,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_24/image_46.png,3
10271,107.33333333333334,60.0,240.0,0.1,0.00999,0.16,0.0565,1.0,0.0,1.16,1.97,3.46,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_69/image_26.png,3
5288,940.0,0.0,553.3333333333334,0.1,0.0005,0.03,0.0865,1.0,0.0,1.16,2.19,2.98,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_36/image_70.png,2
3739,107.33333333333334,763.3333333333333,793.3333333333334,0.1,0.03,0.000157,0.0261,1.0,0.0,1.18,2.13,3.39,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_25/image_117.png,3
4540,305.66666666666663,343.33333333333337,44.0,0.1,0.03,0.03,0.0561,1.0,0.0,1.01,1.99,3.15,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_31/image_56.png,3
8888,383.3333333333333,60.0,710.0,0.1,0.00999,0.16,0.0475,1.0,0.0,0.904,2.05,3.01,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_60/image_41.png,3
2106,420.0,566.6666666666666,680.0,0.1,0.0005,0.000157,0.0625,1.0,0.0,0.931,2.15,3.49,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_14/image_101.png,3
12657,346.66666666666663,0.0,1000.0,0.1,0.00999,0.16,0.0685,1.0,0.0,0.824,2.18,2.91,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_85/image_3.png,2
10169,820.0,60.0,0.0,0.1,0.00999,0.000157,0.0505,1.0,0.0,1.06,1.84,3.03,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_68/image_106.png,2
2762,560.0,483.3333333333333,349.99999999999994,0.1,0.03,0.03,0.0411,1.0,0.0,1.09,2.17,3.41,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_19/image_51.png,3
10278,107.33333333333334,60.0,240.0,0.1,0.00999,0.16,0.0565,1.0,0.0,1.16,1.97,3.46,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_69/image_2.png,3
1487,533.3333333333334,93.66666666666666,433.3333333333333,0.1,0.00999,0.03,0.0454,1.0,0.0,0.92,2.08,3.06,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_10/image_11.png,3
9407,859.9999999999999,60.0,1000.0,0.1,0.00999,0.03,0.0835,1.0,0.0,0.856,1.98,3.39,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_63/image_129.png,3
9375,859.9999999999999,60.0,1000.0,0.1,0.00999,0.03,0.0835,1.0,0.0,0.856,1.98,3.39,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_63/image_22.png,3
9737,226.33333333333334,60.0,240.0,0.1,0.00999,0.16,0.0775,1.0,0.0,1.0,1.82,3.01,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_65/image_119.png,3
14752,436.66666666666663,0.0,0.0,0.1,0.00999,0.03,0.0925,1.0,0.0,1.08,2.03,3.28,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_99/image_44.png,1
1473,533.3333333333334,93.66666666666666,433.3333333333333,0.1,0.00999,0.03,0.0454,1.0,0.0,0.92,2.08,3.06,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_10/image_122.png,3
114,703.3333333333333,790.0,626.6666666666666,0.1,0.03,0.16,0.0475,1.0,0.0,1.05,2.16,3.03,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_1/image_130.png,3
6181,503.3333333333333,60.0,88.33333333333333,0.1,0.00999,0.16,0.0265,1.0,0.0,0.808,1.86,2.94,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_42/image_8.png,3
3171,22.166666666666668,399.99999999999994,486.66666666666663,0.1,0.00999,0.03,0.0432,1.0,0.0,0.886,1.95,3.47,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_22/image_89.png,3
230,616.6666666666666,650.0,903.3333333333334,0.1,0.0005,0.03,0.0389,1.0,0.0,1.16,2.0,2.99,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_2/image_26.png,3
7241,67.66666666666667,333.3333333333333,826.6666666666666,0.1,0.00999,0.03,0.0655,1.0,0.0,1.14,1.89,3.03,/content/drive/MyDrive/ISU/DPNNet-RT/image_directory/RT_A_49/image_64.png,3
